caption_length,post_hour,hashtag_count,num_mentions,media_count,follower_count_k,high_engagement
54,0,6,3,2,28.55,0
55,6,11,1,1,8.33,0
117,16,6,0,2,23.42,1
120,2,4,1,2,27.65,0
90,19,6,1,1,9.59,1
48,19,6,0,10,13.91,1
56,20,11,1,10,11.95,1
75,2,5,2,10,42.5,1
81,2,8,2,10,19.89,1
101,16,14,2,3,39.42,1
68,6,13,0,10,4.23,1
116,13,8,1,5,6.07,1
115,16,6,1,1,1.6,0
145,17,4,2,3,10.89,1
77,12,6,1,5,31.56,1
90,19,6,0,3,6.44,1
71,19,7,0,1,2.56,1
48,20,5,2,1,1.56,0
203,17,5,0,3,9.4,0
136,3,8,2,10,3.19,1
114,0,9,1,1,6.87,1
76,17,1,1,1,26.22,1
46,0,7,1,1,7.77,0
124,12,4,3,2,14.62,1
70,19,11,0,1,10.96,1
94,19,1,5,2,19.52,1
56,22,8,1,10,3.05,1
87,9,7,2,2,38.47,1
58,10,8,0,1,15.98,1
59,8,7,1,5,5.24,1
86,8,10,1,2,2.47,0
33,4,6,0,1,2.93,0
34,0,6,5,2,23.39,1
51,16,5,2,2,13.8,1
68,21,6,2,3,7.69,1
118,1,7,0,5,6.57,0
70,23,8,1,1,29.54,1
75,12,3,2,1,31.66,0
65,8,7,2,1,13.56,1
90,3,8,0,3,11.65,1
48,4,7,4,3,25.93,0
72,10,9,0,1,21.25,0
94,23,9,0,1,8.17,0
86,18,4,1,10,1.8,1
77,20,3,0,5,22.45,1
77,2,7,1,1,3.27,1
99,11,5,2,3,0.75,1
208,18,5,2,2,28.3,0
49,18,8,1,1,13.45,1
211,12,7,0,1,33.84,1
48,6,9,1,1,10.44,0
22,14,4,1,1,39.65,1
57,22,8,3,2,7.05,1
91,6,6,1,1,19.84,1
186,7,4,0,1,5.87,0
46,4,5,2,2,0.52,0
98,20,9,2,1,7.66,1
35,13,6,3,3,20.58,0
182,3,5,1,1,2.94,0
137,22,5,1,2,11.04,0
59,9,9,0,10,4.08,0
148,19,11,0,1,1.66,0
72,14,4,1,2,14.91,1
141,17,7,3,1,46.04,1
76,19,5,0,5,6.08,1
78,12,3,1,3,13.54,1
59,7,4,0,1,46.56,0
105,8,7,3,2,16.27,1
81,15,1,1,1,17.27,0
99,18,6,0,10,3.46,1
31,15,10,3,1,10.68,0
143,6,6,1,3,7.36,1
162,13,9,0,1,10.05,0
81,13,5,1,2,24.7,1
201,3,10,0,10,9.76,0
177,14,8,0,5,1.47,1
106,2,2,2,1,35.89,1
149,4,3,2,2,12.31,0
129,0,6,0,1,39.25,1
27,2,3,1,1,13.24,0
66,14,7,3,1,1.58,1
110,23,5,1,1,12.57,0
167,7,8,1,2,13.36,0
34,3,8,2,1,4.12,0
28,1,5,1,2,10.05,0
74,23,5,0,1,9.73,0
22,23,5,1,1,15.13,0
73,9,4,0,3,5.01,1
92,3,3,2,1,13.58,0
45,2,10,2,1,4.64,0
74,1,5,1,1,9.37,0
123,16,4,2,2,2.46,0
57,22,8,2,2,1.07,0
49,20,4,0,1,6.3,0
72,23,7,2,1,5.31,0
42,19,8,3,5,8.34,1
193,22,6,0,10,49.55,1
78,12,1,5,1,11.58,1
51,4,6,2,2,12.58,1
85,20,5,1,1,43.11,0
72,8,6,1,1,38.6,1
68,21,5,0,1,32.83,0
57,5,7,3,2,2.05,0
55,4,5,1,1,15.59,0
31,9,7,1,5,25.26,1
149,7,7,1,2,27.58,1
103,6,10,1,1,13.44,0
90,6,7,1,3,0.76,0
71,5,2,1,1,55.08,0
44,20,8,1,1,10.09,1
50,19,8,2,1,8.0,1
33,2,9,2,1,8.04,0
53,18,3,0,1,8.78,1
41,21,9,1,1,4.66,0
171,14,7,1,1,6.45,0
119,3,11,1,1,63.86,1
79,11,5,2,10,7.39,1
47,5,12,0,1,11.72,0
42,18,6,1,1,28.79,0
69,3,7,1,10,11.74,1
122,14,4,1,2,6.38,0
34,8,5,0,2,11.63,0
102,4,3,0,1,2.32,0
53,12,8,2,2,2.59,0
58,22,5,1,1,18.27,1
78,17,7,1,2,37.92,1
48,4,7,0,10,19.9,0
67,15,6,3,2,1.66,1
46,18,6,0,1,8.23,0
55,13,4,1,2,0.54,1
112,15,2,1,2,11.24,0
80,14,4,1,2,3.72,0
112,21,3,2,2,30.89,1
53,3,6,1,2,2.15,0
102,6,6,0,2,0.52,1
29,15,8,2,10,9.5,1
78,23,1,0,3,3.03,0
106,21,6,3,1,20.59,1
29,20,8,1,3,38.37,1
53,21,2,1,1,1.14,0
78,20,7,1,3,8.05,1
126,7,5,2,1,86.74,0
55,16,5,2,2,20.29,1
100,15,3,2,3,46.42,0
154,22,7,0,1,3.19,0
103,9,8,1,3,4.25,1
68,9,9,2,2,3.02,1
92,1,4,0,1,5.9,0
54,8,8,3,1,19.83,1
80,16,6,3,5,3.2,1
70,10,7,0,1,11.64,1
91,9,6,3,2,5.2,0
61,21,3,1,3,27.01,0
94,16,8,0,5,0.6,0
60,3,5,0,3,4.29,0
118,15,10,2,2,14.44,1
64,19,6,1,5,2.03,1
23,14,5,1,3,9.92,0
43,20,7,2,3,9.1,1
77,4,3,1,1,29.21,0
171,5,7,0,1,15.23,0
116,16,6,1,2,15.81,0
21,0,7,2,2,45.99,0
32,18,6,1,1,61.06,1
135,3,3,0,1,16.39,0
105,16,7,1,2,11.57,1
218,8,9,0,1,14.54,0
59,23,3,2,1,7.73,0
47,1,9,1,1,66.18,0
79,7,6,2,3,18.81,1
59,14,5,1,2,5.66,1
128,6,10,2,1,1.39,0
57,5,6,3,1,1.19,1
66,0,9,1,2,3.94,0
44,14,4,2,3,4.48,1
112,22,6,1,2,8.54,1
45,6,7,2,1,4.13,0
95,16,13,0,1,15.45,0
186,1,5,1,5,4.06,0
27,8,6,2,1,3.62,0
158,8,5,1,2,10.06,0
88,12,10,1,1,33.43,1
40,5,4,2,1,9.98,0
81,5,4,1,1,8.51,0
110,19,4,1,2,13.44,1
49,19,7,1,1,4.96,0
97,20,6,0,1,7.04,0
165,2,10,1,1,4.11,0
57,16,3,2,1,13.22,0
43,16,7,0,1,18.43,0
71,11,8,2,1,17.3,1
78,15,6,1,1,4.91,1
132,14,3,0,3,23.19,0
70,12,7,3,2,4.93,1
60,22,2,0,1,2.94,0
43,0,3,1,1,6.96,0
29,16,2,1,2,14.16,0
36,2,6,1,1,2.8,0
36,14,11,1,1,16.17,0
66,3,5,1,2,30.32,0
32,3,6,1,5,5.7,1
74,17,5,1,2,9.47,1
184,16,7,0,1,4.39,0
134,18,5,1,5,7.22,1
66,10,2,2,1,0.83,0
246,19,6,1,5,46.61,1
79,2,9,1,1,8.56,0
85,7,16,1,1,23.83,0
70,13,4,0,2,2.81,1
75,0,9,1,10,25.6,1
56,13,3,4,5,30.01,1
66,1,4,0,2,19.35,0
158,22,8,1,2,35.53,1
141,3,6,0,2,3.24,1
22,23,9,1,2,10.21,0
34,18,5,0,3,15.02,1
49,5,9,0,1,14.1,0
122,0,3,0,1,30.1,0
143,16,11,1,10,4.14,1
110,7,7,2,5,3.4,0
40,18,6,2,1,4.88,0
57,20,11,3,1,33.82,1
98,0,9,0,10,42.96,1
67,4,6,1,2,13.15,0
62,15,4,1,2,10.94,0
62,5,8,2,1,14.45,1
136,7,6,1,5,14.87,0
103,12,6,2,1,3.3,0
64,15,9,3,1,17.9,1
90,2,4,2,1,9.53,1
37,18,3,1,5,11.43,1
57,11,13,2,3,0.96,0
129,15,11,1,3,22.19,1
31,10,6,0,1,27.57,0
104,9,4,1,5,14.99,1
22,19,9,1,3,21.22,1
172,3,8,0,3,11.59,0
56,11,8,2,10,14.95,1
94,22,9,0,1,8.03,0
81,1,6,0,2,24.04,1
82,23,11,1,5,9.97,1
90,21,3,2,3,17.6,1
28,18,2,0,2,15.07,0
83,4,8,2,1,18.68,0
69,7,9,1,2,23.57,0
56,6,10,0,2,11.28,0
49,13,6,2,1,25.65,1
84,23,7,2,5,10.82,1
44,22,7,0,1,47.57,0
128,2,7,4,1,21.46,1
97,17,7,0,2,3.32,1
87,15,8,1,2,27.04,1
125,22,7,4,1,12.53,1
26,18,6,0,1,62.97,1
36,18,6,1,1,19.53,0
100,17,7,3,1,1.82,1
51,19,8,0,1,8.04,1
54,15,7,1,1,11.42,0
34,7,8,2,1,27.9,0
44,0,7,1,2,20.1,1
129,16,1,1,5,7.42,0
98,11,6,3,2,16.4,1
84,20,5,2,3,13.4,1
55,10,8,3,1,2.52,0
81,4,6,1,3,4.52,0
135,11,2,2,2,6.76,1
51,16,10,2,2,3.76,1
75,5,8,1,1,2.94,0
178,0,5,4,1,1.4,0
109,4,8,1,2,31.47,1
56,13,6,3,1,5.62,1
105,4,3,1,5,5.64,1
30,21,10,1,1,3.96,1
73,23,4,0,1,10.18,1
105,0,5,2,2,11.33,0
93,17,8,3,5,4.0,1
104,15,4,2,1,14.57,1
116,8,9,2,2,19.76,0
97,18,8,0,1,7.52,1
95,21,7,2,2,13.71,1
85,4,8,1,3,10.97,0
41,1,8,0,5,3.76,1
129,14,7,1,1,20.14,0
75,6,6,1,1,24.75,0
108,3,4,1,2,16.2,0
122,0,3,0,1,6.37,0
57,12,10,2,2,39.72,1
60,19,10,1,2,9.61,1
64,21,4,1,1,5.14,0
142,6,9,1,3,8.37,1
46,14,10,0,1,18.17,0
154,22,2,2,10,28.56,1
85,13,6,0,3,7.11,0
88,22,6,1,3,4.47,1
119,18,7,3,1,15.27,1
80,21,11,2,5,38.62,1
130,23,5,0,3,3.54,1
57,19,7,2,1,24.87,1
152,23,7,2,1,10.21,0
60,17,9,0,1,24.61,1
155,9,7,1,10,11.06,1
60,8,3,0,5,7.61,1
65,7,1,1,5,18.4,1
43,9,8,1,3,35.13,1
49,16,3,1,2,6.29,0
75,1,3,0,1,9.76,0
86,5,9,1,1,4.41,0
125,4,8,2,1,3.54,0
68,8,8,1,2,23.07,1
40,4,6,2,5,3.86,0
93,17,3,1,10,24.15,1
83,19,7,3,1,8.91,1
98,8,4,0,2,80.12,1
53,16,6,0,2,3.8,0
57,16,5,0,2,1.96,1
53,11,9,2,2,1.68,0
137,6,6,3,1,27.57,1
153,2,2,2,5,9.14,0
55,9,6,2,3,0.55,0
56,1,7,1,3,31.66,1
105,2,3,2,1,31.92,0
161,15,10,2,1,25.13,1
180,1,4,0,1,4.78,0
54,23,7,1,3,7.5,0
62,9,9,0,5,20.99,1
89,5,7,0,1,10.58,0
91,21,6,1,3,3.01,1
69,10,4,3,2,4.67,1
49,22,9,5,1,54.45,1
75,6,7,1,3,2.96,1
180,14,7,2,3,19.92,1
57,5,1,0,1,10.25,0
86,19,11,2,1,21.21,1
242,8,6,2,2,16.73,0
57,21,7,0,1,9.17,1
108,19,8,0,5,7.05,1
184,11,10,0,2,21.56,1
103,18,4,0,1,6.35,1
132,19,2,4,1,23.75,1
116,2,6,2,10,17.58,0
99,14,11,0,3,13.43,1
150,1,11,3,3,7.4,0
106,20,7,0,1,3.94,1
70,1,4,2,5,19.09,1
82,21,8,1,1,1.94,1
92,2,4,1,2,53.37,1
61,5,5,3,10,58.27,1
84,14,6,0,1,2.59,0
78,9,6,2,2,2.15,0
106,8,4,1,1,8.48,0
209,0,7,2,2,50.23,0
87,15,6,0,1,8.17,1
164,5,5,2,5,7.28,1
104,8,9,2,1,18.74,1
84,3,5,2,2,3.45,0
60,1,3,1,5,7.27,1
84,3,7,0,10,5.67,1
82,0,3,3,2,14.3,0
51,18,7,0,2,3.16,0
56,9,5,0,1,12.43,0
93,20,7,2,1,29.73,1
163,14,5,0,2,11.33,1
74,21,9,2,1,17.76,1
33,18,7,1,1,1.67,1
21,15,12,3,1,9.44,0
43,20,3,1,2,2.0,0
109,23,5,0,1,14.22,1
36,21,3,6,1,5.45,0
119,3,11,0,1,5.58,0
106,1,11,0,2,1.7,0
72,12,8,0,2,6.07,0
52,0,13,4,2,11.1,0
67,16,5,1,3,13.68,1
92,12,10,2,1,1.53,0
37,3,8,0,1,16.31,0
154,6,5,3,1,10.57,1
91,16,7,1,2,12.05,1
97,8,10,0,3,27.33,0
106,3,10,1,1,6.78,0
146,18,10,1,2,3.37,1
85,0,11,1,2,12.54,0
110,9,6,1,10,44.01,1
52,3,6,3,3,11.44,1
180,8,7,1,2,27.25,1
82,12,5,2,2,21.72,1
52,13,7,1,10,11.46,1
60,9,7,1,10,16.14,1
25,5,6,0,2,8.33,0
59,15,11,0,2,11.85,0
18,5,7,0,2,11.12,0
114,16,8,0,1,19.02,1
95,9,6,1,2,8.41,0
44,17,4,0,1,2.08,0
74,21,2,0,5,23.82,1
76,17,4,6,2,17.82,1
39,2,4,0,3,45.47,0
68,19,5,1,2,8.9,0
77,20,9,2,3,1.72,1
67,14,8,0,1,2.45,1
52,14,2,1,2,22.76,0
43,3,11,0,2,1.55,0
65,8,10,1,1,36.26,0
55,18,10,1,5,5.46,1
102,23,8,2,1,34.87,1
151,16,8,2,2,22.78,1
121,10,9,2,1,31.24,1
79,8,8,1,5,4.11,0
53,9,10,0,1,14.08,1
120,17,4,2,2,1.97,0
106,19,7,1,1,3.89,0
146,12,6,4,1,6.06,0
85,7,7,1,5,20.75,1
175,6,4,1,1,0.88,0
85,16,8,1,2,35.51,1
53,20,4,2,1,1.6,1
58,22,5,0,1,7.59,0
100,14,9,2,2,1.77,0
55,19,11,1,2,22.48,1
174,14,7,0,2,2.79,0
96,0,9,2,2,32.91,0
78,13,5,2,1,11.83,1
81,4,4,0,1,44.98,0
66,10,5,0,1,5.64,0
29,15,10,1,3,9.59,0
58,1,10,1,3,18.27,1
163,7,5,2,1,27.25,0
86,10,4,3,1,8.71,0
129,17,4,2,1,33.94,1
131,2,9,1,10,2.38,1
75,0,9,2,3,19.0,0
107,10,7,0,1,6.92,0
30,15,6,1,2,2.1,1
156,17,7,0,1,7.83,1
150,15,5,3,2,32.33,1
98,22,9,0,3,59.59,0
87,9,6,1,1,7.98,0
75,17,9,2,5,33.13,1
136,5,6,1,2,11.19,1
113,18,4,2,1,19.44,1
14,3,4,0,2,1.2,0
62,12,6,0,2,12.72,1
40,23,11,1,5,1.59,0
36,13,6,1,1,5.19,0
136,2,10,1,1,13.05,0
74,9,4,0,2,25.19,1
98,5,10,0,2,12.85,0
79,0,4,2,1,41.78,1
36,22,8,3,10,25.44,1
31,23,5,3,1,3.05,0
60,13,6,1,1,7.89,1
63,7,6,0,5,17.06,1
63,18,7,4,1,42.31,1
64,13,7,0,1,66.49,0
202,9,4,1,2,22.11,1
128,16,2,1,1,13.29,0
86,8,6,1,10,21.7,1
73,5,3,0,2,5.29,0
75,10,7,2,2,5.5,0
111,6,13,1,1,16.43,0
73,16,8,1,1,31.32,1
121,0,5,0,2,53.0,0
91,21,5,3,2,6.76,1
203,4,3,1,3,24.39,0
71,8,7,0,1,29.11,0
132,17,7,1,2,15.14,1
42,23,4,0,1,6.91,1
54,20,6,1,2,14.98,1
189,1,7,2,2,13.67,1
118,10,3,1,1,14.49,0
99,5,5,0,2,14.98,0
230,7,12,0,1,28.67,0
74,3,3,1,2,3.3,0
132,17,13,0,2,7.37,0
137,10,2,3,1,13.73,1
168,4,7,2,5,5.5,0
39,14,4,0,2,57.86,1
74,17,6,3,5,5.08,1
91,1,2,1,1,10.01,0
166,21,2,0,5,31.98,0
96,10,11,0,1,1.75,0
137,12,5,0,2,26.28,1
38,3,9,1,5,13.19,1
65,21,5,4,1,0.98,1
150,6,7,1,1,35.48,1
69,10,8,0,3,1.1,1
77,21,10,1,2,11.36,1
165,23,1,1,2,1.25,0
47,3,10,2,1,1.61,0
53,14,6,0,2,33.23,1
35,0,3,0,1,22.28,0
168,22,7,1,5,3.79,1
126,2,5,0,2,15.03,0
125,13,10,1,3,24.25,1
64,5,9,2,1,33.55,0
34,17,3,1,5,9.98,1
29,0,4,1,2,34.67,0
150,5,5,0,5,11.13,1
102,5,3,1,1,17.98,0
112,20,3,4,3,58.47,1
88,15,8,1,2,4.54,1
50,4,12,1,1,3.27,0
65,16,4,0,1,6.78,0
43,9,6,2,1,3.19,0
40,20,8,1,1,5.51,1
121,17,8,2,1,20.88,1
30,6,10,2,2,10.24,0
44,2,7,0,2,7.55,0
67,12,7,0,2,7.4,0
81,14,6,2,1,3.74,0
35,19,5,2,3,9.4,1
30,18,3,0,5,15.2,0
96,2,8,1,1,2.75,0
86,3,4,1,1,54.58,1
149,4,8,2,2,9.29,1
81,0,10,1,3,44.84,1
101,3,10,1,2,2.67,0
51,11,13,1,2,22.36,0
53,23,9,1,1,14.92,1
37,9,6,1,3,26.23,1
52,22,5,2,1,14.27,1
65,20,2,2,1,49.89,1
141,19,4,1,1,15.29,1
48,23,11,2,1,23.53,1
208,12,4,2,2,32.0,1
106,22,2,0,2,19.31,0
95,13,7,1,10,11.64,1
78,22,11,2,1,5.28,1
70,4,9,1,10,29.41,1
56,3,8,1,2,10.33,1
34,13,5,2,2,15.04,0
48,9,3,0,5,1.74,0
168,16,10,3,2,10.82,1
102,9,7,2,1,18.47,0
167,6,2,2,5,13.66,0
55,15,6,1,2,9.43,1
43,0,7,1,2,4.29,1
78,16,3,1,5,6.06,0
49,20,3,3,1,18.59,1
86,8,5,1,2,4.31,0
31,5,6,2,3,15.08,0
23,18,6,0,2,13.86,1
93,12,3,0,1,53.31,1
170,2,5,0,3,1.44,0
95,6,8,1,1,2.22,0
102,21,3,1,3,11.08,1
79,8,9,0,5,11.73,0
83,21,3,2,1,1.11,0
34,4,5,1,1,26.72,0
50,9,7,0,1,10.74,0
140,22,11,0,2,6.88,1
41,16,11,6,5,6.26,1
64,11,1,1,2,30.14,1
139,22,6,3,1,3.79,0
82,15,6,2,2,3.12,0
84,2,3,2,3,4.1,0
64,21,5,1,1,15.21,1
109,8,2,1,3,25.48,0
123,14,9,1,1,6.53,1
49,4,4,0,3,3.36,0
35,22,4,0,1,4.02,0
26,12,5,1,1,14.98,1
99,13,6,2,5,4.74,1
93,19,8,0,2,31.97,1
239,14,10,1,1,2.15,0
80,15,7,3,5,0.99,1
72,22,10,1,2,1.89,0
88,12,10,2,1,28.53,1
90,16,3,0,2,16.3,1
69,22,7,1,5,47.96,1
50,7,9,0,2,6.65,0
77,20,6,0,1,4.09,1
76,1,4,1,2,12.88,1
75,4,4,1,2,12.08,0
115,5,9,1,3,13.91,0
77,11,9,2,1,6.9,1
36,17,12,1,2,0.59,0
54,21,8,0,1,1.03,0
69,21,11,1,2,16.85,1
79,0,4,1,10,11.61,1
100,16,7,2,1,26.31,1
79,10,9,1,1,5.86,1
24,9,6,1,2,25.85,0
38,18,13,1,3,8.81,1
104,13,8,1,1,2.03,0
68,9,4,2,2,57.69,0
82,14,9,2,5,11.26,1
63,18,5,0,3,15.39,1
54,3,5,0,3,17.17,0
65,1,6,2,1,7.25,0
83,8,2,0,5,21.15,1
76,9,6,1,1,31.13,1
123,10,10,2,1,7.85,1
32,13,7,1,1,16.55,1
34,6,6,1,2,21.73,0
67,22,8,1,5,3.66,1
101,14,7,0,1,6.57,1
112,21,3,0,3,2.23,0
55,18,5,1,3,14.33,1
16,21,3,1,2,24.71,0
56,14,6,1,3,14.66,1
93,23,10,1,1,3.47,0
76,7,7,1,1,12.36,1
103,10,7,1,5,27.52,1
138,8,17,0,2,5.91,0
70,14,2,0,1,27.32,1
60,0,4,1,2,23.53,0
46,0,8,0,5,0.83,0
34,18,11,1,2,4.61,0
30,2,8,1,1,12.24,0
52,9,9,2,2,19.47,1
128,7,7,0,3,32.37,0
108,14,7,0,1,15.87,0
58,9,4,1,1,7.68,0
209,0,8,1,2,3.56,0
54,17,5,0,2,21.91,1
145,1,8,0,1,3.97,0
162,18,5,3,1,18.33,0
97,12,7,1,1,3.5,0
52,21,2,1,1,1.93,1
62,0,3,3,1,4.84,0
84,1,3,0,2,5.53,0
35,15,5,0,2,16.13,1
44,14,4,1,2,3.13,0
42,12,7,4,1,40.45,1
101,15,6,1,1,12.62,1
137,16,4,2,1,10.63,1
110,20,6,1,1,9.06,1
126,6,7,1,1,13.04,0
50,23,9,0,1,0.84,0
64,16,6,4,10,69.71,1
66,6,5,0,1,12.73,1
97,12,3,2,5,1.04,0
53,4,8,3,1,13.87,1
122,16,4,2,1,9.12,1
160,2,6,0,3,0.86,0
99,6,4,2,1,39.24,0
62,16,6,0,1,0.66,1
47,6,8,1,10,13.44,1
42,20,5,1,2,49.47,1
24,0,4,2,1,4.57,0
68,16,4,1,1,4.9,1
65,16,6,0,5,0.51,1
118,10,10,2,5,1.53,1
55,2,5,1,2,1.19,0
70,14,7,0,1,26.44,1
88,20,5,1,3,27.69,1
98,10,4,0,1,19.96,1
111,15,8,1,1,7.03,1
84,21,5,3,2,26.33,1
36,8,4,3,1,12.14,0
94,23,9,3,2,5.94,0
53,23,9,3,5,9.12,1
141,0,13,1,3,1.52,0
77,21,6,2,1,43.98,1
86,15,13,1,1,14.98,1
249,8,4,1,1,20.21,0
112,18,7,3,1,17.43,1
93,11,7,2,2,17.03,1
71,18,4,0,1,0.76,0
38,21,5,1,1,11.68,0
68,8,5,0,1,26.37,0
47,6,10,1,1,1.18,0
170,13,3,2,2,47.41,1
94,18,6,1,2,8.78,1
138,18,5,0,2,5.64,1
54,1,9,1,3,11.88,0
49,8,12,1,3,24.73,0
106,12,5,0,1,10.16,1
46,14,2,3,1,16.04,0
60,2,7,0,2,10.89,0
174,10,7,1,1,15.47,1
61,20,3,1,1,2.73,0
33,13,2,1,10,1.09,1
27,7,3,3,1,2.71,0
31,17,0,2,2,5.55,0
142,18,3,0,2,4.88,0
56,15,9,1,1,14.82,0
245,1,5,0,1,9.63,0
161,7,3,2,2,1.09,0
196,21,5,2,1,1.03,1
127,5,10,1,1,1.92,0
103,11,5,0,10,7.03,1
48,14,10,1,2,0.59,0
76,7,2,0,1,10.72,0
109,3,10,0,1,7.21,0
123,14,7,2,2,12.66,0
40,19,6,0,1,19.64,1
69,16,10,1,1,4.83,1
73,12,9,1,1,3.06,1
71,17,11,3,1,5.39,1
42,1,2,3,2,0.53,0
184,12,7,2,2,2.42,1
67,12,4,3,1,21.34,1
44,21,12,2,1,4.28,0
186,14,5,2,1,78.01,0
161,19,5,0,2,3.26,0
82,9,13,1,1,23.82,0
27,2,7,2,1,18.81,0
