date,temperature
2021-04-09,36.65
2021-04-10,36.92
2021-04-11,36.88
2021-04-12,35.44
2021-04-13,35.43
2021-04-14,35.53
2021-04-15,35.07
2021-04-16,35.47
2021-04-17,36.49
2021-04-18,39.16
2021-04-19,39.38
2021-04-20,39.68
2021-04-21,39.54
2021-04-22,37.23
2021-04-23,37.54
2021-04-24,37.92
2021-04-25,41.13
2021-04-26,40.68
2021-04-27,40.9
2021-04-28,40.69
2021-04-29,39.16
2021-04-30,40.64
2021-05-01,41.43
2021-05-02,42.15
2021-05-03,40.73
2021-05-04,42.3
2021-05-05,40.28
2021-05-06,40.95
2021-05-07,43.44
2021-05-08,41.74
2021-05-09,40.81
2021-05-10,40.82
2021-05-11,40.1
2021-05-12,38.24
2021-05-13,38.59
2021-05-14,37.53
2021-05-15,38.48
2021-05-16,37.6
2021-05-17,39.82
2021-05-18,38.91
2021-05-19,38.67
2021-05-20,39.84
2021-05-21,38.37
2021-05-22,38.86
2021-05-23,40.57
2021-05-24,38.52
2021-05-25,38.92
2021-05-26,39.34
2021-05-27,40.31
2021-05-28,38.71
2021-05-29,37.24
2021-05-30,38.19
2021-05-31,38.72
2021-06-01,39.1
2021-06-02,39.53
2021-06-03,38.65
2021-06-04,38.99
2021-06-05,39.33
2021-06-06,38.4
2021-06-07,40.69
2021-06-08,40.96
2021-06-09,39.17
2021-06-10,39.85
2021-06-11,38.46
2021-06-12,39.37
2021-06-13,40.58
2021-06-14,39.21
2021-06-15,40.17
2021-06-16,40.31
2021-06-17,40.9
2021-06-18,42.67
2021-06-19,41.59
2021-06-20,40.03
2021-06-21,38.53
2021-06-22,37.33
2021-06-23,37.16
2021-06-24,37.51
2021-06-25,37.7
2021-06-26,38.5
2021-06-27,38.19
2021-06-28,39.62
2021-06-29,38.76
2021-06-30,41.58
2021-07-01,41.44
2021-07-02,39.52
2021-07-03,37.61
2021-07-04,37.82
2021-07-05,37.13
2021-07-06,37.64
2021-07-07,37.76
2021-07-08,37.18
2021-07-09,35.74
2021-07-10,33.68
2021-07-11,33.18
2021-07-12,34.3
2021-07-13,34.45
2021-07-14,32.8
2021-07-15,33.07
2021-07-16,33.52
2021-07-17,32.36
2021-07-18,32.59
2021-07-19,32.64
2021-07-20,31.21
2021-07-21,31.77
2021-07-22,32.46
2021-07-23,33.64
2021-07-24,34.58
2021-07-25,32.43
2021-07-26,31.1
2021-07-27,31.69
2021-07-28,32.15
2021-07-29,32.52
2021-07-30,36.8
2021-07-31,36.48
2021-08-01,36.85
2021-08-02,36.91
2021-08-03,36.57
2021-08-04,35.09
2021-08-05,35.1
2021-08-06,33.23
2021-08-07,32.25
2021-08-08,31.09
2021-08-09,30.76
2021-08-10,33.12
2021-08-11,30.08
2021-08-12,30.53
2021-08-13,28.12
2021-08-14,27.41
2021-08-15,28.65
2021-08-16,28.44
2021-08-17,26.87
2021-08-18,25.93
2021-08-19,26.77
2021-08-20,25.77
2021-08-21,26.02
2021-08-22,26.0
2021-08-23,25.12
2021-08-24,27.69
2021-08-25,28.04
2021-08-26,25.11
2021-08-27,25.24
2021-08-28,24.31
2021-08-29,25.31
2021-08-30,24.15
2021-08-31,23.95
2021-09-01,24.49
2021-09-02,25.36
2021-09-03,23.59
2021-09-04,23.09
2021-09-05,22.48
2021-09-06,21.71
2021-09-07,23.93
2021-09-08,24.16
2021-09-09,22.33
2021-09-10,23.36
2021-09-11,25.66
2021-09-12,26.27
2021-09-13,23.71
2021-09-14,22.75
2021-09-15,24.0
2021-09-16,22.68
2021-09-17,22.91
2021-09-18,23.48
2021-09-19,21.89
2021-09-20,21.56
2021-09-21,17.44
2021-09-22,16.58
2021-09-23,16.74
2021-09-24,15.67
2021-09-25,18.19
2021-09-26,16.63
2021-09-27,16.48
2021-09-28,17.01
2021-09-29,19.02
2021-09-30,17.25
2021-10-01,18.85
2021-10-02,18.8
2021-10-03,17.55
2021-10-04,18.21
2021-10-05,18.43
2021-10-06,17.64
2021-10-07,17.76
2021-10-08,17.29
2021-10-09,17.48
2021-10-10,18.28
2021-10-11,20.06
2021-10-12,18.16
2021-10-13,20.59
2021-10-14,17.73
2021-10-15,17.44
2021-10-16,18.08
2021-10-17,18.24
2021-10-18,17.28
2021-10-19,16.95
2021-10-20,16.31
2021-10-21,15.65
2021-10-22,16.8
2021-10-23,17.18
2021-10-24,16.23
2021-10-25,17.33
2021-10-26,17.54
2021-10-27,18.32
2021-10-28,18.76
2021-10-29,17.37
2021-10-30,16.51
2021-10-31,17.35
2021-11-01,17.89
2021-11-02,17.58
2021-11-03,17.49
2021-11-04,18.79
2021-11-05,17.66
2021-11-06,18.06
2021-11-07,17.5
2021-11-08,17.0
2021-11-09,18.16
2021-11-10,18.82
2021-11-11,19.36
2021-11-12,20.42
2021-11-13,19.77
2021-11-14,20.02
2021-11-15,19.04
2021-11-16,18.98
2021-11-17,18.38
2021-11-18,18.15
2021-11-19,18.56
2021-11-20,17.21
2021-11-21,19.57
2021-11-22,17.86
2021-11-23,16.16
2021-11-24,17.58
2021-11-25,18.35
2021-11-26,18.81
2021-11-27,19.21
2021-11-28,18.8
2021-11-29,17.4
2021-11-30,17.38
2021-12-01,16.48
2021-12-02,17.7
2021-12-03,17.41
2021-12-04,16.36
2021-12-05,16.08
2021-12-06,16.74
2021-12-07,16.15
2021-12-08,15.34
2021-12-09,15.96
2021-12-10,16.49
2021-12-11,16.06
2021-12-12,15.76
2021-12-13,16.36
2021-12-14,14.87
2021-12-15,13.67
2021-12-16,13.5
2021-12-17,13.97
2021-12-18,15.03
2021-12-19,17.34
2021-12-20,18.58
2021-12-21,18.44
2021-12-22,18.51
2021-12-23,17.41
2021-12-24,17.67
2021-12-25,17.6
2021-12-26,18.29
2021-12-27,17.52
2021-12-28,18.5
2021-12-29,20.58
2021-12-30,20.4
2021-12-31,20.88
2022-01-01,21.7
2022-01-02,21.08
2022-01-03,21.32
2022-01-04,21.31
2022-01-05,21.42
2022-01-06,20.5
2022-01-07,20.7
2022-01-08,21.46
2022-01-09,23.28
2022-01-10,24.26
2022-01-11,26.56
2022-01-12,25.03
2022-01-13,25.73
2022-01-14,25.53
2022-01-15,27.79
2022-01-16,26.14
2022-01-17,24.74
2022-01-18,23.86
2022-01-19,21.31
2022-01-20,21.09
2022-01-21,20.65
2022-01-22,21.4
2022-01-23,22.3
2022-01-24,24.93
2022-01-25,26.09
2022-01-26,25.27
2022-01-27,24.22
2022-01-28,25.03
2022-01-29,23.57
2022-01-30,26.14
2022-01-31,27.58
2022-02-01,26.85
2022-02-02,24.77
2022-02-03,26.71
2022-02-04,26.63
2022-02-05,28.22
2022-02-06,26.2
2022-02-07,25.71
2022-02-08,26.05
2022-02-09,26.42
2022-02-10,26.16
2022-02-11,27.27
2022-02-12,26.21
2022-02-13,26.45
2022-02-14,27.0
2022-02-15,27.98
2022-02-16,29.07
2022-02-17,27.83
2022-02-18,26.31
2022-02-19,28.43
2022-02-20,29.12
2022-02-21,28.45
2022-02-22,30.66
2022-02-23,30.85
2022-02-24,32.32
2022-02-25,32.27
2022-02-26,34.64
2022-02-27,36.32
2022-02-28,35.37
2022-03-01,36.06
2022-03-02,36.29
2022-03-03,37.37
2022-03-04,35.53
2022-03-05,35.96
2022-03-06,36.81
2022-03-07,34.18
2022-03-08,32.66
2022-03-09,30.37
2022-03-10,30.58
2022-03-11,31.96
2022-03-12,34.11
2022-03-13,34.24
2022-03-14,36.25
2022-03-15,34.37
2022-03-16,32.42
2022-03-17,32.75
2022-03-18,33.59
2022-03-19,33.83
2022-03-20,31.62
2022-03-21,32.13
2022-03-22,31.14
2022-03-23,32.68
2022-03-24,33.65
2022-03-25,32.93
2022-03-26,32.86
2022-03-27,32.16
2022-03-28,32.78
2022-03-29,34.56
2022-03-30,33.75
2022-03-31,34.88
2022-04-01,34.62
2022-04-02,34.1
2022-04-03,34.5
2022-04-04,33.74
2022-04-05,33.7
2022-04-06,32.9
2022-04-07,36.04
2022-04-08,36.41
2022-04-09,35.85
2022-04-10,36.5
2022-04-11,36.67
2022-04-12,36.7
2022-04-13,37.74
2022-04-14,38.81
2022-04-15,38.19
2022-04-16,37.62
2022-04-17,37.51
2022-04-18,34.99
2022-04-19,33.81
2022-04-20,36.28
2022-04-21,38.72
2022-04-22,38.53
2022-04-23,39.37
2022-04-24,39.77
2022-04-25,43.45
2022-04-26,44.22
2022-04-27,43.4
2022-04-28,41.71
2022-04-29,39.5
2022-04-30,39.8
2022-05-01,38.91
2022-05-02,37.35
2022-05-03,36.97
2022-05-04,36.12
2022-05-05,38.73
2022-05-06,39.98
2022-05-07,39.98
2022-05-08,41.77
2022-05-09,41.61
2022-05-10,40.34
2022-05-11,42.13
2022-05-12,42.47
2022-05-13,40.86
2022-05-14,40.51
2022-05-15,39.39
2022-05-16,37.82
2022-05-17,39.26
2022-05-18,41.66
2022-05-19,39.72
2022-05-20,40.43
2022-05-21,39.56
2022-05-22,39.02
2022-05-23,38.43
2022-05-24,37.59
2022-05-25,37.96
2022-05-26,37.22
2022-05-27,37.9
2022-05-28,38.08
2022-05-29,38.01
2022-05-30,37.13
2022-05-31,36.77
2022-06-01,38.05
2022-06-02,38.82
2022-06-03,37.69
2022-06-04,38.01
2022-06-05,39.05
2022-06-06,37.02
2022-06-07,37.93
2022-06-08,37.24
2022-06-09,38.13
2022-06-10,37.26
2022-06-11,35.26
2022-06-12,33.75
2022-06-13,34.47
2022-06-14,35.31
2022-06-15,34.62
2022-06-16,35.86
2022-06-17,34.14
2022-06-18,34.57
2022-06-19,33.54
2022-06-20,33.32
2022-06-21,33.95
2022-06-22,33.38
2022-06-23,33.44
2022-06-24,35.14
2022-06-25,34.66
2022-06-26,35.93
2022-06-27,34.63
2022-06-28,35.49
2022-06-29,37.29
2022-06-30,34.11
2022-07-01,33.38
2022-07-02,34.39
2022-07-03,34.29
2022-07-04,34.87
2022-07-05,34.16
2022-07-06,34.37
2022-07-07,34.22
2022-07-08,35.66
2022-07-09,35.77
2022-07-10,35.93
2022-07-11,35.14
2022-07-12,34.35
2022-07-13,33.71
2022-07-14,34.14
2022-07-15,33.5
2022-07-16,33.77
2022-07-17,36.12
2022-07-18,36.65
2022-07-19,35.63
2022-07-20,36.56
2022-07-21,35.4
2022-07-22,32.42
2022-07-23,31.1
2022-07-24,28.91
2022-07-25,28.85
2022-07-26,29.2
2022-07-27,31.46
2022-07-28,31.74
2022-07-29,31.28
2022-07-30,32.13
2022-07-31,29.16
2022-08-01,29.55
2022-08-02,30.49
2022-08-03,28.56
2022-08-04,30.03
2022-08-05,30.29
2022-08-06,29.57
2022-08-07,30.19
2022-08-08,32.65
2022-08-09,32.2
2022-08-10,31.87
2022-08-11,30.7
2022-08-12,29.22
2022-08-13,29.94
2022-08-14,28.49
2022-08-15,28.35
2022-08-16,27.54
2022-08-17,27.96
2022-08-18,28.12
2022-08-19,29.07
2022-08-20,27.98
2022-08-21,27.32
2022-08-22,25.88
2022-08-23,25.26
2022-08-24,25.69
2022-08-25,26.48
2022-08-26,25.11
2022-08-27,26.07
2022-08-28,27.43
2022-08-29,27.43
2022-08-30,29.16
2022-08-31,27.42
2022-09-01,25.34
2022-09-02,22.91
2022-09-03,24.74
2022-09-04,25.26
2022-09-05,24.82
2022-09-06,24.82
2022-09-07,23.11
2022-09-08,25.91
2022-09-09,25.49
2022-09-10,25.07
2022-09-11,25.44
2022-09-12,25.42
2022-09-13,25.08
2022-09-14,23.54
2022-09-15,23.73
2022-09-16,25.55
2022-09-17,26.43
2022-09-18,27.45
2022-09-19,25.77
2022-09-20,23.74
2022-09-21,23.03
2022-09-22,22.63
2022-09-23,23.5
2022-09-24,20.88
2022-09-25,22.49
2022-09-26,21.82
2022-09-27,20.91
2022-09-28,19.4
2022-09-29,17.33
2022-09-30,18.53
2022-10-01,18.63
2022-10-02,17.05
2022-10-03,15.69
2022-10-04,15.67
2022-10-05,18.03
2022-10-06,17.71
2022-10-07,15.93
2022-10-08,15.91
2022-10-09,15.84
2022-10-10,12.86
2022-10-11,13.48
2022-10-12,13.78
2022-10-13,15.13
2022-10-14,17.66
2022-10-15,18.92
2022-10-16,18.3
2022-10-17,16.76
2022-10-18,19.86
2022-10-19,19.46
2022-10-20,19.06
2022-10-21,18.66
2022-10-22,18.58
2022-10-23,18.09
2022-10-24,17.15
2022-10-25,16.37
2022-10-26,16.32
2022-10-27,15.66
2022-10-28,14.88
2022-10-29,15.2
2022-10-30,15.03
2022-10-31,17.0
2022-11-01,13.67
2022-11-02,15.34
2022-11-03,16.93
2022-11-04,14.3
2022-11-05,14.14
2022-11-06,13.97
2022-11-07,12.57
2022-11-08,12.14
2022-11-09,11.38
2022-11-10,14.17
2022-11-11,15.55
2022-11-12,17.14
2022-11-13,17.83
2022-11-14,16.19
2022-11-15,15.53
2022-11-16,16.19
2022-11-17,14.7
2022-11-18,15.76
2022-11-19,15.53
2022-11-20,15.17
2022-11-21,16.17
2022-11-22,16.71
2022-11-23,16.21
2022-11-24,17.62
2022-11-25,16.14
2022-11-26,16.92
2022-11-27,17.57
2022-11-28,17.04
2022-11-29,17.37
2022-11-30,15.77
2022-12-01,17.03
2022-12-02,16.78
2022-12-03,16.17
2022-12-04,17.55
2022-12-05,16.64
2022-12-06,15.03
2022-12-07,13.5
2022-12-08,14.81
2022-12-09,13.67
2022-12-10,16.36
2022-12-11,14.06
2022-12-12,16.66
2022-12-13,17.1
2022-12-14,17.12
2022-12-15,16.62
2022-12-16,17.34
2022-12-17,17.46
2022-12-18,18.94
2022-12-19,19.03
2022-12-20,19.17
2022-12-21,18.7
2022-12-22,18.68
2022-12-23,19.13
2022-12-24,17.1
2022-12-25,15.84
2022-12-26,17.3
2022-12-27,17.88
2022-12-28,17.96
2022-12-29,18.3
2022-12-30,19.01
2022-12-31,18.57
2023-01-01,17.97
2023-01-02,18.63
2023-01-03,17.8
2023-01-04,18.79
2023-01-05,17.12
2023-01-06,19.0
2023-01-07,19.96
2023-01-08,20.55
2023-01-09,21.94
2023-01-10,23.97
2023-01-11,24.94
2023-01-12,22.37
2023-01-13,20.89
2023-01-14,20.44
2023-01-15,20.87
2023-01-16,21.85
2023-01-17,21.22
2023-01-18,21.82
2023-01-19,21.22
2023-01-20,20.91
2023-01-21,19.72
2023-01-22,19.32
2023-01-23,18.5
2023-01-24,18.28
2023-01-25,20.56
2023-01-26,20.13
2023-01-27,24.08
2023-01-28,24.91
2023-01-29,25.28
2023-01-30,24.36
2023-01-31,25.49
2023-02-01,24.95
2023-02-02,25.35
2023-02-03,28.66
2023-02-04,28.31
2023-02-05,29.54
2023-02-06,28.39
2023-02-07,28.25
2023-02-08,30.32
2023-02-09,29.24
2023-02-10,31.28
2023-02-11,31.72
2023-02-12,30.6
2023-02-13,31.11
2023-02-14,31.99
2023-02-15,32.34
2023-02-16,30.05
2023-02-17,29.13
2023-02-18,28.97
2023-02-19,29.06
2023-02-20,30.01
2023-02-21,30.31
2023-02-22,28.78
2023-02-23,29.57
2023-02-24,30.55
2023-02-25,31.35
2023-02-26,32.69
2023-02-27,33.55
2023-02-28,33.87
2023-03-01,33.54
2023-03-02,31.37
2023-03-03,32.07
2023-03-04,32.42
2023-03-05,32.83
2023-03-06,31.35
2023-03-07,30.35
2023-03-08,32.09
2023-03-09,32.28
2023-03-10,33.34
2023-03-11,33.49
2023-03-12,33.64
2023-03-13,34.88
2023-03-14,34.22
2023-03-15,34.42
2023-03-16,33.94
2023-03-17,33.6
2023-03-18,33.48
2023-03-19,34.04
2023-03-20,33.7
2023-03-21,35.52
2023-03-22,34.5
2023-03-23,34.52
2023-03-24,34.25
2023-03-25,36.3
2023-03-26,36.57
2023-03-27,37.83
2023-03-28,35.89
2023-03-29,36.37
2023-03-30,37.55
2023-03-31,37.6
2023-04-01,38.84
2023-04-02,38.02
2023-04-03,39.65
2023-04-04,42.12
2023-04-05,41.05
2023-04-06,40.06
2023-04-07,41.51
2023-04-08,42.91
2023-04-09,41.59
2023-04-10,40.61
2023-04-11,39.96
2023-04-12,38.15
2023-04-13,37.13
2023-04-14,36.18
2023-04-15,35.67
2023-04-16,36.13
2023-04-17,36.85
2023-04-18,39.06
2023-04-19,37.89
2023-04-20,39.28
2023-04-21,39.04
2023-04-22,39.04
2023-04-23,39.92
2023-04-24,38.52
2023-04-25,39.15
2023-04-26,39.43
2023-04-27,40.07
2023-04-28,40.37
2023-04-29,43.23
2023-04-30,41.96
2023-05-01,41.02
2023-05-02,40.11
2023-05-03,39.42
2023-05-04,38.74
2023-05-05,40.36
2023-05-06,42.01
2023-05-07,41.03
2023-05-08,39.89
2023-05-09,40.48
2023-05-10,39.75
2023-05-11,40.56
2023-05-12,40.73
2023-05-13,38.81
2023-05-14,40.85
2023-05-15,42.88
2023-05-16,41.72
2023-05-17,41.0
2023-05-18,41.18
2023-05-19,41.4
2023-05-20,41.97
2023-05-21,44.07
2023-05-22,43.22
2023-05-23,41.75
2023-05-24,39.79
2023-05-25,38.9
2023-05-26,38.97
2023-05-27,41.22
2023-05-28,40.35
2023-05-29,40.48
2023-05-30,40.3
2023-05-31,41.58
2023-06-01,44.27
2023-06-02,42.87
2023-06-03,41.72
2023-06-04,42.57
2023-06-05,42.84
2023-06-06,44.46
2023-06-07,44.3
2023-06-08,43.03
2023-06-09,43.07
2023-06-10,43.71
2023-06-11,43.89
2023-06-12,43.65
2023-06-13,44.1
2023-06-14,44.59
2023-06-15,45.25
2023-06-16,44.91
2023-06-17,43.62
2023-06-18,42.88
2023-06-19,43.51
2023-06-20,41.6
2023-06-21,41.37
2023-06-22,40.24
2023-06-23,39.77
2023-06-24,40.85
2023-06-25,40.44
2023-06-26,39.89
2023-06-27,37.72
2023-06-28,38.38
2023-06-29,38.79
2023-06-30,40.94
2023-07-01,39.78
2023-07-02,39.4
2023-07-03,39.09
2023-07-04,40.39
2023-07-05,39.47
2023-07-06,39.11
2023-07-07,39.17
2023-07-08,38.69
2023-07-09,37.5
2023-07-10,37.23
2023-07-11,38.02
2023-07-12,36.15
2023-07-13,35.93
2023-07-14,34.71
2023-07-15,35.92
2023-07-16,33.66
2023-07-17,32.86
2023-07-18,33.28
2023-07-19,35.04
2023-07-20,34.54
2023-07-21,33.51
2023-07-22,35.52
2023-07-23,33.2
2023-07-24,30.31
2023-07-25,30.98
2023-07-26,30.39
2023-07-27,29.24
2023-07-28,30.3
2023-07-29,30.62
2023-07-30,29.89
2023-07-31,28.38
2023-08-01,29.65
2023-08-02,30.43
2023-08-03,30.16
2023-08-04,32.24
2023-08-05,30.47
2023-08-06,28.4
2023-08-07,27.6
2023-08-08,27.67
2023-08-09,28.04
2023-08-10,27.74
2023-08-11,28.17
2023-08-12,26.58
2023-08-13,28.43
2023-08-14,28.14
2023-08-15,29.31
2023-08-16,29.34
2023-08-17,29.47
2023-08-18,29.68
2023-08-19,29.69
2023-08-20,29.89
2023-08-21,30.86
2023-08-22,30.3
2023-08-23,30.4
2023-08-24,29.5
2023-08-25,30.54
2023-08-26,28.86
2023-08-27,30.37
2023-08-28,29.41
2023-08-29,26.9
2023-08-30,26.61
2023-08-31,25.36
2023-09-01,26.1
2023-09-02,24.9
2023-09-03,24.1
2023-09-04,21.66
2023-09-05,21.29
2023-09-06,18.58
2023-09-07,17.25
2023-09-08,18.91
2023-09-09,20.32
2023-09-10,21.06
2023-09-11,20.0
2023-09-12,20.17
2023-09-13,20.34
2023-09-14,19.07
2023-09-15,21.16
2023-09-16,22.16
2023-09-17,21.67
2023-09-18,21.53
2023-09-19,21.6
2023-09-20,18.94
2023-09-21,18.8
2023-09-22,18.14
2023-09-23,17.18
2023-09-24,17.2
2023-09-25,19.69
2023-09-26,20.39
2023-09-27,19.52
2023-09-28,20.13
2023-09-29,21.61
2023-09-30,22.29
2023-10-01,21.8
2023-10-02,20.53
2023-10-03,21.04
2023-10-04,21.08
2023-10-05,21.71
2023-10-06,21.91
2023-10-07,22.56
2023-10-08,21.2
2023-10-09,22.24
2023-10-10,21.78
2023-10-11,23.61
2023-10-12,21.85
2023-10-13,23.24
2023-10-14,22.56
2023-10-15,20.95
2023-10-16,19.78
2023-10-17,18.96
2023-10-18,19.15
2023-10-19,19.41
2023-10-20,18.31
2023-10-21,18.02
2023-10-22,20.37
2023-10-23,21.86
2023-10-24,21.56
2023-10-25,20.83
2023-10-26,20.29
2023-10-27,20.42
2023-10-28,18.56
2023-10-29,17.89
2023-10-30,15.62
2023-10-31,16.17
2023-11-01,16.93
2023-11-02,16.22
2023-11-03,18.07
2023-11-04,16.29
2023-11-05,14.48
2023-11-06,14.97
2023-11-07,16.37
2023-11-08,18.33
2023-11-09,17.42
2023-11-10,18.49
2023-11-11,18.06
2023-11-12,17.54
2023-11-13,18.36
2023-11-14,18.79
2023-11-15,16.47
2023-11-16,18.18
2023-11-17,19.51
2023-11-18,18.25
2023-11-19,18.4
2023-11-20,18.65
2023-11-21,18.59
2023-11-22,17.58
2023-11-23,16.57
2023-11-24,16.51
2023-11-25,17.89
2023-11-26,18.33
2023-11-27,17.61
2023-11-28,18.37
2023-11-29,14.69
2023-11-30,16.37
2023-12-01,14.34
2023-12-02,14.28
2023-12-03,13.33
2023-12-04,12.33
2023-12-05,14.44
2023-12-06,14.29
2023-12-07,15.15
2023-12-08,15.43
2023-12-09,16.31
2023-12-10,16.59
2023-12-11,15.22
2023-12-12,16.8
2023-12-13,16.37
2023-12-14,14.75
2023-12-15,14.75
2023-12-16,17.07
2023-12-17,18.29
2023-12-18,17.91
2023-12-19,17.6
2023-12-20,17.39
2023-12-21,20.11
2023-12-22,20.41
2023-12-23,20.74
2023-12-24,21.76
2023-12-25,21.71
2023-12-26,21.08
2023-12-27,20.65
2023-12-28,20.46
2023-12-29,20.36
2023-12-30,21.21
2023-12-31,21.15
