order_id,order_date,category,order_value_inr
OD100244,2023-01-23 14:48:29,Home & Kitchen,3931.32
OD100421,2023-01-23 22:58:29,Electronics,4993.29
OD100479,2023-01-24 00:32:53,Mobiles,411.23
OD101238,2023-01-24 03:43:29,Fashion,646.23
OD100310,2023-01-24 05:49:47,Home & Kitchen,1107.0
OD100220,2023-01-24 06:03:41,Electronics,1918.69
OD100344,2023-01-24 10:59:53,Fashion,577.35
OD100691,2023-01-24 19:02:03,Fashion,3467.65
OD100313,2023-01-25 20:53:35,Home & Kitchen,4870.14
OD101367,2023-01-25 22:49:08,Fashion,2301.72
OD101206,2023-01-26 09:03:34,Mobiles,375.22
OD100351,2023-01-26 12:24:24,Home & Kitchen,1716.3
OD100891,2023-01-26 18:08:20,Electronics,4707.74
OD100006,2023-01-26 20:41:29,Electronics,1167.54
OD100234,2023-01-26 20:50:00,Electronics,4706.48
OD101465,2023-01-26 23:31:42,Home & Kitchen,2194.31
OD100692,2023-01-27 00:43:08,Fashion,5261.88
OD100419,2023-01-27 06:17:22,Mobiles,2898.39
OD100810,2023-01-27 08:19:20,Home & Kitchen,321.74
OD100632,2023-01-27 11:43:47,Home & Kitchen,1547.87
OD100785,2023-01-27 19:42:16,Electronics,865.1
OD101286,2023-01-28 06:57:01,Beauty,5210.62
OD100901,2023-01-28 11:12:19,Beauty,569.54
OD101131,2023-01-28 13:45:57,Electronics,5294.73
OD100793,2023-01-28 14:54:48,Electronics,1794.75
OD100049,2023-01-29 02:33:08,Mobiles,3137.22
OD101068,2023-01-29 09:35:52,Beauty,2828.08
OD100228,2023-01-29 18:06:53,Fashion,1115.96
OD100527,2023-01-29 23:29:31,Beauty,1269.3
OD101095,2023-01-30 05:55:54,Home & Kitchen,5774.78
OD100212,2023-01-30 09:24:08,Fashion,5888.42
OD100240,2023-01-30 11:53:41,Electronics,684.36
OD100298,2023-01-30 14:37:11,Mobiles,4031.99
OD101227,2023-01-30 17:21:43,Fashion,757.28
OD100711,2023-01-31 01:31:20,Electronics,3101.3
OD101403,2023-01-31 04:44:49,Beauty,2662.42
OD100111,2023-01-31 10:45:08,Mobiles,11363.63
OD100729,2023-01-31 13:25:28,Mobiles,7525.12
OD100701,2023-01-31 15:46:30,Fashion,1155.39
OD101033,2023-01-31 18:29:31,Beauty,2721.08
OD100051,2023-01-31 19:44:06,Fashion,2550.42
OD100927,2023-01-31 21:04:27,Electronics,752.05
OD100070,2023-01-31 21:39:55,Mobiles,2343.75
OD101093,2023-02-01 03:34:36,Mobiles,1274.31
OD100518,2023-02-01 05:43:35,Electronics,3990.94
OD100110,2023-02-01 07:10:38,Fashion,913.41
OD100787,2023-02-01 23:40:42,Beauty,3318.45
OD101499,2023-02-02 07:40:27,Mobiles,2198.78
OD100589,2023-02-02 21:26:32,Home & Kitchen,2066.71
OD101318,2023-02-03 03:29:53,Mobiles,526.6
OD100101,2023-02-03 07:46:30,Mobiles,2893.89
OD100571,2023-02-03 13:43:23,Mobiles,1128.94
OD100393,2023-02-03 14:55:41,Mobiles,2191.55
OD100229,2023-02-03 15:36:00,Home & Kitchen,890.54
OD100454,2023-02-03 21:05:09,Fashion,3102.14
OD100204,2023-02-04 05:57:14,Fashion,3914.41
OD101186,2023-02-04 08:00:22,Fashion,6654.52
OD100698,2023-02-04 10:44:02,Electronics,5310.68
OD100721,2023-02-04 14:24:35,Mobiles,476.0
OD100097,2023-02-05 06:27:42,Electronics,5819.39
OD100302,2023-02-05 15:39:49,Fashion,658.18
OD100480,2023-02-05 15:46:01,Beauty,752.05
OD101393,2023-02-05 17:16:16,Mobiles,4683.12
OD101275,2023-02-05 19:30:35,Mobiles,4882.14
OD101154,2023-02-06 04:09:14,Mobiles,3107.18
OD100528,2023-02-06 18:43:45,Fashion,5009.38
OD101001,2023-02-06 23:52:20,Mobiles,1475.89
OD100990,2023-02-07 15:08:18,Electronics,4367.21
OD100191,2023-02-07 16:33:35,Mobiles,2520.27
OD100760,2023-02-07 18:55:08,Fashion,499.26
OD100969,2023-02-08 08:44:52,Electronics,1906.35
OD100868,2023-02-08 09:59:04,Home & Kitchen,1987.74
OD100190,2023-02-08 13:17:48,Fashion,5278.45
OD100895,2023-02-08 15:20:42,Fashion,7933.2
OD100198,2023-02-08 16:53:34,Mobiles,1993.79
OD100022,2023-02-08 17:06:09,Fashion,1622.41
OD100106,2023-02-08 23:10:12,Electronics,1231.07
OD100725,2023-02-09 00:02:00,Fashion,3190.48
OD100570,2023-02-09 02:46:09,Beauty,3854.08
OD100059,2023-02-09 04:22:37,Mobiles,6117.56
OD101480,2023-02-09 04:41:41,Fashion,2389.27
OD101456,2023-02-09 16:12:55,Home & Kitchen,3235.49
OD100453,2023-02-09 20:41:24,Home & Kitchen,1527.23
OD100451,2023-02-09 22:42:36,Beauty,4465.66
OD100112,2023-02-10 10:44:39,Fashion,1811.85
OD100548,2023-02-10 13:05:57,Fashion,1403.5
OD100088,2023-02-11 11:45:02,Mobiles,2480.87
OD100778,2023-02-11 15:57:45,Mobiles,5325.57
OD101353,2023-02-11 18:42:16,Fashion,3967.21
OD100338,2023-02-11 19:30:00,Mobiles,3043.42
OD100615,2023-02-11 19:30:10,Mobiles,3566.27
OD101401,2023-02-12 14:34:22,Fashion,7064.32
OD100654,2023-02-12 17:55:05,Electronics,3285.78
OD100582,2023-02-12 18:39:21,Electronics,813.9
OD100610,2023-02-12 19:36:31,Home & Kitchen,939.86
OD101188,2023-02-12 22:10:54,Mobiles,2545.37
OD100748,2023-02-13 07:13:16,Fashion,3347.18
OD101322,2023-02-13 11:52:54,Home & Kitchen,780.3
OD100702,2023-02-13 13:17:04,Home & Kitchen,5426.89
OD100784,2023-02-13 16:00:11,Fashion,5662.82
OD100443,2023-02-13 16:02:42,Home & Kitchen,1437.01
OD100790,2023-02-13 20:19:00,Fashion,337.79
OD100145,2023-02-14 14:22:19,Electronics,3886.68
OD101224,2023-02-14 22:03:13,Electronics,1881.99
OD100473,2023-02-14 23:33:22,Electronics,497.26
OD100977,2023-02-15 06:55:42,Home & Kitchen,4820.52
OD101014,2023-02-16 00:47:46,Home & Kitchen,2972.09
OD100684,2023-02-16 17:04:11,Mobiles,968.61
OD101021,2023-02-16 18:21:19,Electronics,4379.42
OD101445,2023-02-16 23:11:33,Electronics,3836.23
OD101376,2023-02-17 00:41:49,Home & Kitchen,594.81
OD101051,2023-02-17 11:04:33,Home & Kitchen,1240.56
OD100320,2023-02-17 20:41:54,Home & Kitchen,1087.12
OD101260,2023-02-18 00:28:07,Fashion,1971.77
OD100077,2023-02-18 02:14:59,Mobiles,3093.23
OD100935,2023-02-18 05:21:40,Fashion,1002.76
OD100530,2023-02-18 10:10:39,Home & Kitchen,549.65
OD100713,2023-02-18 13:59:31,Home & Kitchen,2288.94
OD101220,2023-02-18 20:30:38,Home & Kitchen,1516.76
OD100265,2023-02-19 07:13:42,Home & Kitchen,427.83
OD100590,2023-02-19 16:55:39,Mobiles,1615.59
OD100418,2023-02-19 18:55:54,Mobiles,1189.98
OD100236,2023-02-20 00:37:32,Mobiles,335.05
OD100468,2023-02-20 04:24:28,Mobiles,8220.3
OD100352,2023-02-20 06:02:27,Home & Kitchen,1828.84
OD100988,2023-02-20 07:09:20,Home & Kitchen,495.8
OD100284,2023-02-20 14:28:13,Mobiles,5786.9
OD100812,2023-02-21 00:30:49,Fashion,2674.21
OD100542,2023-02-21 04:23:21,Mobiles,1460.94
OD100813,2023-02-21 05:30:19,Home & Kitchen,2837.13
OD100984,2023-02-21 15:50:18,Beauty,805.64
OD100991,2023-02-21 16:19:10,Mobiles,6100.21
OD100657,2023-02-21 16:37:51,Mobiles,6644.6
OD100020,2023-02-22 07:56:13,Fashion,1553.57
OD100152,2023-02-22 14:39:43,Electronics,1347.08
OD100941,2023-02-22 23:43:58,Fashion,2693.74
OD100699,2023-02-23 00:14:41,Electronics,726.78
OD101173,2023-02-23 01:18:17,Mobiles,347.33
OD101483,2023-02-23 02:32:14,Mobiles,1574.06
OD100742,2023-02-23 04:21:17,Fashion,2127.17
OD100608,2023-02-23 06:03:40,Fashion,439.46
OD101265,2023-02-23 09:12:18,Home & Kitchen,445.67
OD101402,2023-02-23 14:57:58,Fashion,1070.4
OD101074,2023-02-23 21:48:13,Mobiles,2560.54
OD100726,2023-02-24 12:37:55,Mobiles,1309.38
OD100137,2023-02-25 07:54:10,Mobiles,8418.18
OD101160,2023-02-25 08:34:43,Fashion,3234.1
OD100706,2023-02-25 22:32:57,Fashion,2750.23
OD100887,2023-02-26 02:44:47,Mobiles,2108.05
OD101375,2023-02-26 09:46:34,Mobiles,3522.81
OD101400,2023-02-26 12:34:40,Home & Kitchen,3054.56
OD101319,2023-02-26 19:37:27,Fashion,2333.25
OD100594,2023-02-27 05:28:25,Mobiles,3256.31
OD100876,2023-02-27 06:51:39,Home & Kitchen,736.26
OD100272,2023-02-27 11:10:50,Mobiles,6919.73
OD100017,2023-02-27 15:45:05,Home & Kitchen,12639.04
OD100861,2023-02-27 16:34:05,Fashion,4652.76
OD100983,2023-02-27 21:10:45,Mobiles,1799.48
OD101258,2023-02-28 12:41:01,Electronics,2744.41
OD100802,2023-02-28 20:09:29,Home & Kitchen,1720.06
OD100647,2023-02-28 20:28:41,Home & Kitchen,3856.45
OD101112,2023-03-01 02:29:23,Mobiles,401.97
OD100917,2023-03-01 05:55:22,Mobiles,951.11
OD100450,2023-03-01 09:06:37,Mobiles,696.38
OD100410,2023-03-01 10:10:07,Fashion,1070.7
OD100043,2023-03-01 13:53:01,Mobiles,3776.54
OD101043,2023-03-01 18:54:39,Fashion,5797.45
OD100121,2023-03-01 20:57:16,Home & Kitchen,377.61
OD100362,2023-03-02 00:08:22,Mobiles,2976.64
OD101235,2023-03-02 03:27:47,Fashion,1286.25
OD100947,2023-03-02 14:46:36,Fashion,3326.88
OD101362,2023-03-02 15:05:31,Electronics,6335.75
OD101389,2023-03-03 03:23:11,Home & Kitchen,6916.79
OD100874,2023-03-03 09:28:29,Home & Kitchen,1052.56
OD100395,2023-03-03 13:53:05,Fashion,323.93
OD100796,2023-03-03 17:17:40,Mobiles,4877.36
OD100402,2023-03-03 17:25:52,Mobiles,4005.15
OD101395,2023-03-03 20:57:34,Electronics,4030.85
OD101305,2023-03-03 21:23:37,Mobiles,811.25
OD101447,2023-03-04 11:21:02,Home & Kitchen,316.25
OD100843,2023-03-04 14:44:21,Fashion,1458.51
OD101144,2023-03-05 03:29:30,Fashion,2174.23
OD100822,2023-03-05 05:26:50,Electronics,902.29
OD100288,2023-03-05 09:40:47,Fashion,2749.63
OD100161,2023-03-05 20:13:09,Mobiles,1976.96
OD101463,2023-03-05 22:53:53,Home & Kitchen,618.27
OD101015,2023-03-06 08:09:16,Mobiles,3383.07
OD100946,2023-03-06 09:01:07,Mobiles,3279.36
OD101289,2023-03-06 15:11:03,Mobiles,1811.79
OD100193,2023-03-07 10:37:17,Home & Kitchen,1140.42
OD101374,2023-03-07 10:56:18,Mobiles,426.22
OD100888,2023-03-07 11:53:16,Home & Kitchen,2216.27
OD100028,2023-03-07 13:33:09,Beauty,8055.1
OD100280,2023-03-07 16:18:39,Electronics,2611.65
OD100642,2023-03-07 23:00:48,Electronics,407.37
OD101127,2023-03-08 05:53:21,Home & Kitchen,4835.85
OD100267,2023-03-08 06:26:10,Fashion,1588.06
OD100645,2023-03-08 10:07:32,Electronics,1178.43
OD100032,2023-03-08 11:17:46,Fashion,430.22
OD100886,2023-03-08 12:29:32,Home & Kitchen,1018.06
OD101314,2023-03-08 14:00:10,Mobiles,684.8
OD100871,2023-03-09 04:54:26,Mobiles,3913.48
OD101307,2023-03-09 05:48:21,Home & Kitchen,916.02
OD101444,2023-03-09 06:49:25,Mobiles,4550.25
OD100237,2023-03-09 09:16:24,Mobiles,3646.28
OD100414,2023-03-09 17:59:44,Fashion,2123.32
OD101194,2023-03-09 23:12:34,Mobiles,2632.89
OD100177,2023-03-10 03:46:34,Mobiles,2204.64
OD100231,2023-03-10 05:39:04,Fashion,321.26
OD100385,2023-03-10 19:49:54,Electronics,336.01
OD100913,2023-03-11 01:31:46,Mobiles,735.97
OD100021,2023-03-11 16:11:17,Mobiles,1668.71
OD100375,2023-03-11 22:11:35,Electronics,3421.49
OD100879,2023-03-12 04:08:23,Mobiles,3027.24
OD100908,2023-03-12 09:25:50,Mobiles,4847.98
OD100593,2023-03-12 13:18:49,Mobiles,1308.38
OD101437,2023-03-12 13:38:11,Electronics,1007.09
OD100515,2023-03-12 14:20:28,Fashion,3045.03
OD100428,2023-03-12 15:58:45,Electronics,1201.12
OD100034,2023-03-12 18:16:30,Fashion,452.42
OD100715,2023-03-12 19:41:40,Beauty,1215.01
OD101013,2023-03-13 16:53:20,Electronics,3505.98
OD100838,2023-03-13 18:24:06,Mobiles,2696.89
OD100465,2023-03-13 22:17:04,Fashion,2790.87
OD100972,2023-03-14 17:51:28,Fashion,3215.95
OD101203,2023-03-14 19:55:18,Mobiles,1143.0
OD100307,2023-03-15 01:55:27,Beauty,299.34
OD100579,2023-03-15 03:28:27,Fashion,2019.6
OD101125,2023-03-15 11:29:24,Electronics,3890.89
OD101457,2023-03-15 13:37:08,Home & Kitchen,1091.38
OD100074,2023-03-16 01:13:06,Mobiles,4969.59
OD100319,2023-03-16 02:53:23,Mobiles,1415.63
OD101259,2023-03-16 11:54:06,Fashion,1098.28
OD101233,2023-03-17 00:42:12,Mobiles,1114.6
OD100262,2023-03-17 01:15:31,Electronics,2034.99
OD101161,2023-03-17 06:00:32,Electronics,3285.18
OD100180,2023-03-17 08:27:05,Mobiles,4206.7
OD100513,2023-03-17 09:00:40,Mobiles,1009.36
OD101096,2023-03-17 19:19:06,Mobiles,1282.68
OD100517,2023-03-17 21:06:08,Fashion,2380.51
OD100125,2023-03-17 21:09:28,Home & Kitchen,3827.66
OD100635,2023-03-18 08:38:39,Fashion,503.26
OD100282,2023-03-18 11:54:40,Beauty,2908.01
OD101355,2023-03-18 19:55:55,Electronics,4693.16
OD100821,2023-03-18 22:18:25,Electronics,1012.8
OD100299,2023-03-19 01:58:28,Mobiles,1090.61
OD100752,2023-03-19 14:47:04,Electronics,1066.25
OD100865,2023-03-20 00:54:31,Beauty,1194.43
OD100565,2023-03-20 04:12:30,Electronics,7811.4
OD100728,2023-03-21 08:01:40,Mobiles,1469.7
OD101177,2023-03-21 09:33:11,Mobiles,4851.79
OD101320,2023-03-21 15:28:09,Electronics,4961.78
OD100176,2023-03-21 22:32:06,Mobiles,3500.62
OD100173,2023-03-22 00:42:30,Electronics,945.12
OD100911,2023-03-22 03:51:17,Electronics,1745.02
OD100862,2023-03-22 07:41:45,Fashion,1163.63
OD101377,2023-03-22 08:07:25,Mobiles,2642.27
OD101063,2023-03-22 11:35:57,Home & Kitchen,4276.05
OD100839,2023-03-22 19:58:16,Fashion,3694.55
OD100864,2023-03-23 01:09:47,Fashion,354.39
OD101386,2023-03-23 06:31:02,Fashion,975.02
OD101268,2023-03-23 23:16:52,Home & Kitchen,3526.52
OD101039,2023-03-24 04:49:33,Mobiles,6270.13
OD100296,2023-03-24 05:07:10,Fashion,2134.81
OD100151,2023-03-24 12:35:44,Home & Kitchen,447.44
OD100965,2023-03-24 14:13:49,Mobiles,1657.68
OD100628,2023-03-24 19:58:40,Beauty,6104.44
OD100249,2023-03-25 09:32:27,Mobiles,501.07
OD100993,2023-03-25 21:51:43,Mobiles,472.3
OD100442,2023-03-26 02:16:35,Mobiles,495.54
OD100090,2023-03-26 06:36:09,Mobiles,2596.45
OD100497,2023-03-26 16:02:40,Home & Kitchen,1735.17
OD100405,2023-03-26 19:35:41,Mobiles,634.4
OD100585,2023-03-27 01:12:20,Beauty,879.07
OD100314,2023-03-27 03:15:40,Mobiles,308.57
OD101482,2023-03-27 14:15:50,Mobiles,6015.45
OD100016,2023-03-27 16:54:12,Beauty,3327.83
OD101175,2023-03-27 19:21:58,Mobiles,2651.08
OD101321,2023-03-27 21:43:32,Mobiles,4272.19
OD100979,2023-03-28 10:40:10,Electronics,4932.97
OD100607,2023-03-28 12:14:07,Electronics,2147.03
OD101172,2023-03-28 13:43:41,Mobiles,764.01
OD101390,2023-03-28 14:37:38,Home & Kitchen,1523.79
OD101434,2023-03-29 10:19:34,Mobiles,8910.02
OD101441,2023-03-29 18:29:14,Mobiles,3803.72
OD101178,2023-03-29 18:59:13,Beauty,4357.98
OD101204,2023-03-29 19:42:48,Mobiles,4355.82
OD100334,2023-03-30 02:48:07,Fashion,3341.28
OD100264,2023-03-30 14:21:49,Beauty,3368.69
OD100875,2023-03-30 18:03:36,Home & Kitchen,733.37
OD100931,2023-03-30 23:14:01,Home & Kitchen,577.29
OD100788,2023-03-31 00:01:24,Mobiles,3148.46
OD101440,2023-03-31 04:18:12,Mobiles,3776.54
OD100666,2023-03-31 04:39:18,Electronics,9901.22
OD101471,2023-03-31 10:21:30,Mobiles,748.03
OD100278,2023-03-31 12:21:42,Fashion,2856.44
OD100422,2023-03-31 14:02:21,Mobiles,358.69
OD101124,2023-03-31 18:46:42,Mobiles,2742.71
OD101332,2023-04-01 05:38:44,Fashion,2766.65
OD101382,2023-04-01 11:28:24,Fashion,1543.34
OD100855,2023-04-01 14:18:14,Mobiles,3354.86
OD100938,2023-04-02 06:07:59,Home & Kitchen,966.1
OD100182,2023-04-02 07:02:19,Electronics,4251.26
OD101133,2023-04-02 11:34:29,Electronics,2473.41
OD101410,2023-04-02 11:57:57,Home & Kitchen,1111.47
OD100580,2023-04-03 05:16:41,Fashion,871.53
OD100189,2023-04-03 06:16:19,Electronics,1950.25
OD100394,2023-04-03 09:37:21,Electronics,2559.48
OD100157,2023-04-03 10:53:24,Fashion,2470.54
OD101106,2023-04-03 14:38:02,Mobiles,1287.69
OD101300,2023-04-04 01:36:19,Electronics,2310.1
OD101354,2023-04-04 07:07:13,Mobiles,1567.19
OD101166,2023-04-04 13:18:43,Fashion,2585.37
OD101336,2023-04-04 21:21:14,Fashion,1380.65
OD101475,2023-04-05 22:58:18,Fashion,1352.82
OD100583,2023-04-06 02:35:16,Mobiles,1306.04
OD101113,2023-04-06 07:24:39,Fashion,1623.14
OD101011,2023-04-06 11:02:32,Mobiles,1452.4
OD100707,2023-04-06 18:00:41,Fashion,2419.1
OD101329,2023-04-06 23:18:43,Electronics,300.63
OD100219,2023-04-07 03:21:01,Mobiles,347.25
OD100837,2023-04-07 05:49:50,Beauty,857.74
OD100250,2023-04-07 08:08:55,Mobiles,1607.69
OD101388,2023-04-07 15:47:25,Beauty,2384.52
OD101473,2023-04-07 17:39:16,Mobiles,2276.98
OD101256,2023-04-07 22:35:41,Beauty,2059.56
OD101294,2023-04-08 01:29:40,Beauty,781.42
OD101229,2023-04-08 08:38:03,Electronics,9335.92
OD100850,2023-04-08 09:36:38,Home & Kitchen,3044.0
OD100709,2023-04-08 20:29:21,Electronics,6212.47
OD101485,2023-04-08 23:18:05,Fashion,326.17
OD101228,2023-04-09 00:44:32,Mobiles,697.3
OD101142,2023-04-09 03:41:13,Mobiles,6916.61
OD100978,2023-04-09 09:30:24,Fashion,4605.35
OD100462,2023-04-09 10:11:42,Electronics,459.56
OD100360,2023-04-09 10:53:24,Home & Kitchen,5047.61
OD100181,2023-04-09 12:10:17,Fashion,632.32
OD101458,2023-04-09 13:11:56,Electronics,827.69
OD100411,2023-04-09 13:49:59,Mobiles,343.27
OD100346,2023-04-09 19:12:06,Electronics,2882.11
OD100092,2023-04-10 08:49:37,Mobiles,3214.13
OD100574,2023-04-10 16:04:34,Mobiles,7617.15
OD100281,2023-04-11 05:02:24,Mobiles,1406.19
OD100869,2023-04-11 14:54:30,Mobiles,6846.03
OD101053,2023-04-11 17:53:54,Mobiles,903.9
OD101326,2023-04-12 11:25:00,Fashion,5479.11
OD101317,2023-04-12 13:22:13,Electronics,1443.76
OD101323,2023-04-12 18:08:09,Home & Kitchen,3091.69
OD100525,2023-04-13 06:53:10,Home & Kitchen,2814.29
OD100550,2023-04-13 10:17:31,Fashion,1021.55
OD101373,2023-04-14 03:14:12,Electronics,976.81
OD101287,2023-04-14 04:02:22,Fashion,1604.58
OD101493,2023-04-14 08:37:44,Electronics,903.21
OD101018,2023-04-14 09:54:05,Beauty,3008.44
OD101192,2023-04-15 09:14:33,Electronics,1675.24
OD101263,2023-04-15 19:50:14,Mobiles,1213.88
OD100476,2023-04-16 01:49:12,Mobiles,1837.91
OD100332,2023-04-16 16:49:42,Mobiles,1525.12
OD100854,2023-04-16 18:14:42,Fashion,1012.82
OD100937,2023-04-17 05:57:55,Mobiles,1538.98
OD100023,2023-04-17 06:05:51,Home & Kitchen,6253.37
OD100508,2023-04-17 07:34:47,Home & Kitchen,9763.35
OD101242,2023-04-17 09:25:00,Mobiles,460.52
OD101174,2023-04-17 12:35:39,Home & Kitchen,4074.14
OD100731,2023-04-17 17:45:35,Home & Kitchen,3081.89
OD100903,2023-04-18 00:32:46,Beauty,2314.07
OD101306,2023-04-18 02:25:17,Electronics,1115.55
OD101239,2023-04-18 15:43:54,Mobiles,1039.84
OD100031,2023-04-18 16:54:08,Electronics,2828.26
OD101170,2023-04-18 17:02:47,Fashion,3053.75
OD100413,2023-04-19 20:40:34,Fashion,4007.58
OD101111,2023-04-19 23:51:03,Fashion,990.02
OD101380,2023-04-20 09:20:44,Electronics,1493.09
OD101477,2023-04-20 09:22:17,Beauty,2986.2
OD101423,2023-04-20 21:56:03,Electronics,1350.65
OD101243,2023-04-21 12:42:45,Home & Kitchen,889.91
OD100954,2023-04-21 14:13:16,Mobiles,605.53
OD100639,2023-04-21 15:05:56,Fashion,4091.51
OD100797,2023-04-21 23:50:01,Electronics,821.3
OD100200,2023-04-22 03:14:43,Mobiles,5315.91
OD100494,2023-04-22 06:21:13,Mobiles,10226.27
OD100012,2023-04-22 10:35:19,Mobiles,1357.65
OD100030,2023-04-23 05:19:39,Fashion,302.92
OD100696,2023-04-23 07:11:41,Mobiles,1561.75
OD100829,2023-04-23 13:44:50,Mobiles,3092.51
OD101348,2023-04-23 18:10:57,Home & Kitchen,718.54
OD100399,2023-04-23 20:10:36,Beauty,3128.46
